Date, Close/Last, Volume, Open, High, Low
07/11/2019, $35, 4449661, $35.05, $35.5, $34.9
07/10/2019, $35.19, 4986511, $35.6, $36.44, $34.98
07/09/2019, $35.64, 4400143, $34.63, $35.66, $34.46
07/08/2019, $35, 4238393, $35.15, $35.54, $34.95
07/05/2019, $35.52, 3437681, $35.8, $36.1, $35.46
07/03/2019, $36, 3170712, $36.28, $36.46, $35.8
07/02/2019, $36.55, 3193328, $36.11, $36.99, $35.76
07/01/2019, $36.55, 9390075, $38.18, $38.44, $35.94
06/28/2019, $37.5, 8709035, $36.73, $37.5, $36.25
06/27/2019, $36.25, 11298620, $37.77, $38.22, $36.2
06/26/2019, $37.19, 19132540, $36.21, $37.6, $35.85
06/25/2019, $35.2, 10116580, $35.19, $36.14, $34.81
06/24/2019, $35.76, 16944500, $36.32, $36.97, $35.35
06/21/2019, $37.22, 42874130, $38.88, $40.25, $36.6
06/20/2019, $38.62, 137364200, $38.5, $42, $38.25
